data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_attualmente_positivi,nuovi_attualmente_positivi,dimessi_guariti,dimessi_guariti_gg,deceduti,deceduti_gg,totale_casi,totale_casi_gg,tamponi,tamponi_gg
25/02/2020 18:00,ITA,13,Abruzzo,4.235.122.196,1.339.843.823,0,0,0,0,0,0,0,0,0,0,0,0,5,0
26/02/2020 18:00,ITA,13,Abruzzo,4.235.122.196,1.339.843.823,0,0,0,0,0,0,0,0,0,0,0,0,13,8
27/02/2020 18:00,ITA,13,Abruzzo,4.235.122.196,1.339.843.823,1,0,1,0,1,1,0,0,0,0,1,1,33,20
28/02/2020 18:00,ITA,13,Abruzzo,4.235.122.196,1.339.843.823,1,0,1,0,1,0,0,0,0,0,1,0,33,0
29/02/2020 17:00,ITA,13,Abruzzo,4.235.122.196,1.339.843.823,2,0,2,0,2,1,0,0,0,0,2,1,43,10
01/03/2020 17:00,ITA,13,Abruzzo,4.235.122.196,1.339.843.823,3,0,3,2,5,3,0,0,0,0,5,3,52,9
02/03/2020 18:00,ITA,13,Abruzzo,4.235.122.196,1.339.843.823,3,0,3,2,5,0,0,0,0,0,5,0,52,0
03/03/2020 18:00,ITA,13,Abruzzo,4.235.122.196,1.339.843.823,5,0,5,1,6,1,0,0,0,0,6,1,52,0
04/03/2020 17:00,ITA,13,Abruzzo,4.235.122.196,1.339.843.823,7,0,7,0,7,1,0,0,0,0,7,1,85,33
05/03/2020 17:00,ITA,13,Abruzzo,4.235.122.196,1.339.843.823,8,0,8,0,8,1,0,0,0,0,8,1,96,11
06/03/2020 17:00,ITA,13,Abruzzo,4.235.122.196,1.339.843.823,9,0,9,0,9,1,0,0,0,0,9,1,96,0
07/03/2020 18:00,ITA,13,Abruzzo,4.235.122.196,1.339.843.823,11,0,11,0,11,2,0,0,0,0,11,2,123,27
08/03/2020 18:00,ITA,13,Abruzzo,4.235.122.196,1.339.843.823,14,0,14,3,17,6,0,0,0,0,17,6,163,40
09/03/2020 18:00,ITA,13,Abruzzo,4.235.122.196,1.339.843.823,25,0,25,5,30,13,0,0,0,0,30,13,237,74
10/03/2020 18:00,ITA,13,Abruzzo,4.235.122.196,1.339.843.823,17,9,26,11,37,7,0,0,1,1,38,8,310,73
11/03/2020 17:00,ITA,13,Abruzzo,4.235.122.196,1.339.843.823,17,9,26,11,37,0,0,0,1,0,38,0,310,0
12/03/2020 17:00,ITA,13,Abruzzo,4.235.122.196,1.339.843.823,47,12,59,19,78,41,4,4,2,1,84,46,867,557
13/03/2020 17:00,ITA,13,Abruzzo,4.235.122.196,1.339.843.823,42,14,56,27,83,5,4,0,2,0,89,5,958,91
14/03/2020 17:00,ITA,13,Abruzzo,4.235.122.196,1.339.843.823,51,14,65,41,106,23,4,0,2,0,112,23,1232,274
15/03/2020 17:00,ITA,13,Abruzzo,4.235.122.196,1.339.843.823,72,28,100,28,128,22,6,2,3,1,137,25,1419,187
16/03/2020 17:00,ITA,13,Abruzzo,4.235.122.196,1.339.843.823,71,37,108,57,165,37,7,1,4,1,176,39,1533,114
17/03/2020 17:00,ITA,13,Abruzzo,4.235.122.196,1.339.843.823,94,32,126,90,216,51,7,0,6,2,229,53,1688,155
18/03/2020 17:00,ITA,13,Abruzzo,4.235.122.196,1.339.843.823,99,41,140,109,249,33,7,0,7,1,263,34,2054,366
19/03/2020 17:00,ITA,13,Abruzzo,4.235.122.196,1.339.843.823,181,47,228,138,366,117,8,1,11,4,385,122,2409,355
20/03/2020 17:00,ITA,13,Abruzzo,4.235.122.196,1.339.843.823,190,48,238,184,422,56,10,2,17,6,449,64,2695,286
21/03/2020 17:00,ITA,13,Abruzzo,4.235.122.196,1.339.843.823,185,44,229,265,494,72,13,3,22,5,529,80,3035,340
22/03/2020 17:00,ITA,13,Abruzzo,4.235.122.196,1.339.843.823,218,49,267,272,539,45,15,2,33,11,587,58,3375,340
23/03/2020 17:00,ITA,13,Abruzzo,4.235.122.196,1.339.843.823,228,52,280,325,605,66,20,5,38,5,663,76,3674,299
24/03/2020 17:00,ITA,13,Abruzzo,4.235.122.196,1.339.843.823,234,57,291,331,622,17,21,1,46,8,689,26,4294,620
25/02/2020 18:00,ITA,17,Basilicata,4.063.947.052,1.580.514.834,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26/02/2020 18:00,ITA,17,Basilicata,4.063.947.052,1.580.514.834,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27/02/2020 18:00,ITA,17,Basilicata,4.063.947.052,1.580.514.834,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28/02/2020 18:00,ITA,17,Basilicata,4.063.947.052,1.580.514.834,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29/02/2020 17:00,ITA,17,Basilicata,4.063.947.052,1.580.514.834,0,0,0,0,0,0,0,0,0,0,0,0,32,32
01/03/2020 17:00,ITA,17,Basilicata,4.063.947.052,1.580.514.834,0,0,0,0,0,0,0,0,0,0,0,0,39,7
02/03/2020 18:00,ITA,17,Basilicata,4.063.947.052,1.580.514.834,0,0,0,0,0,0,0,0,0,0,0,0,39,0
03/03/2020 18:00,ITA,17,Basilicata,4.063.947.052,1.580.514.834,0,0,0,1,1,1,0,0,0,0,1,1,42,3
04/03/2020 17:00,ITA,17,Basilicata,4.063.947.052,1.580.514.834,0,0,0,1,1,0,0,0,0,0,1,0,48,6
05/03/2020 17:00,ITA,17,Basilicata,4.063.947.052,1.580.514.834,0,0,0,1,1,0,0,0,0,0,1,0,54,6
06/03/2020 17:00,ITA,17,Basilicata,4.063.947.052,1.580.514.834,1,0,1,2,3,2,0,0,0,0,3,2,63,9
07/03/2020 18:00,ITA,17,Basilicata,4.063.947.052,1.580.514.834,1,0,1,2,3,0,0,0,0,0,3,0,75,12
08/03/2020 18:00,ITA,17,Basilicata,4.063.947.052,1.580.514.834,2,0,2,2,4,1,0,0,0,0,4,1,123,48
09/03/2020 18:00,ITA,17,Basilicata,4.063.947.052,1.580.514.834,2,0,2,3,5,1,0,0,0,0,5,1,135,12
10/03/2020 18:00,ITA,17,Basilicata,4.063.947.052,1.580.514.834,2,0,2,5,7,2,0,0,0,0,7,2,148,13
11/03/2020 17:00,ITA,17,Basilicata,4.063.947.052,1.580.514.834,1,1,2,6,8,1,0,0,0,0,8,1,155,7
12/03/2020 17:00,ITA,17,Basilicata,4.063.947.052,1.580.514.834,1,1,2,6,8,0,0,0,0,0,8,0,155,0
13/03/2020 17:00,ITA,17,Basilicata,4.063.947.052,1.580.514.834,1,1,2,8,10,2,0,0,0,0,10,2,155,0
14/03/2020 17:00,ITA,17,Basilicata,4.063.947.052,1.580.514.834,0,2,2,8,10,0,0,0,0,0,10,0,155,0
15/03/2020 17:00,ITA,17,Basilicata,4.063.947.052,1.580.514.834,0,2,2,9,11,1,0,0,0,0,11,1,208,53
16/03/2020 17:00,ITA,17,Basilicata,4.063.947.052,1.580.514.834,1,2,3,9,12,1,0,0,0,0,12,1,230,22
17/03/2020 17:00,ITA,17,Basilicata,4.063.947.052,1.580.514.834,5,2,7,13,20,8,0,0,0,0,20,8,262,32
18/03/2020 17:00,ITA,17,Basilicata,4.063.947.052,1.580.514.834,9,2,11,16,27,7,0,0,0,0,27,7,262,0
19/03/2020 17:00,ITA,17,Basilicata,4.063.947.052,1.580.514.834,8,5,13,24,37,10,0,0,0,0,37,10,353,91
20/03/2020 17:00,ITA,17,Basilicata,4.063.947.052,1.580.514.834,8,5,13,39,52,15,0,0,0,0,52,15,443,90
21/03/2020 17:00,ITA,17,Basilicata,4.063.947.052,1.580.514.834,12,7,19,47,66,14,0,0,0,0,66,14,522,79
22/03/2020 17:00,ITA,17,Basilicata,4.063.947.052,1.580.514.834,13,10,23,58,81,15,0,0,0,0,81,15,643,121
23/03/2020 17:00,ITA,17,Basilicata,4.063.947.052,1.580.514.834,15,12,27,62,89,8,0,0,1,1,90,9,696,53
